,fuel,test_year,age,y_mean,y_lower,y_upper,n
173,car_diesel,2012,8,15432.04225355591,15401.72104411032,15462.3634630015,141736
174,car_diesel,2012,9,14947.546428979684,14912.208917900967,14982.8839400584,115474
175,car_diesel,2012,10,14241.010835940122,14207.254681867864,14274.76699001238,148970
176,car_diesel,2012,11,13583.512725795532,13546.459098767291,13620.566352823773,103390
177,car_diesel,2012,12,13038.630469075264,12987.024574280811,13090.236363869717,64851
178,car_diesel,2012,13,12293.164098245308,12241.658094289787,12344.67010220083,45478
179,car_diesel,2012,14,11747.427925033468,11668.920332862199,11825.935517204736,34362
180,car_diesel,2012,15,10946.344285228175,10857.497911531487,11035.190658924863,26449
181,car_diesel,2012,16,10328.314057121932,10227.073243311099,10429.554870932765,19117
182,car_diesel,2012,17,9918.881563184292,9807.237675577406,10030.525450791178,14157
183,car_diesel,2012,18,9541.273267020764,9463.187171289284,9619.359362752244,10355
184,car_diesel,2013,3,20362.29598251629,20335.13075120754,20389.46121382504,198928
185,car_diesel,2013,4,18173.492614799245,18144.191053855775,18202.794175742714,180293
186,car_diesel,2013,5,17619.58354475674,17590.766003759763,17648.401085753718,173270
187,car_diesel,2013,6,16929.994729033944,16902.567422698106,16957.422035369782,168582
188,car_diesel,2013,7,15959.297670730033,15933.04200701438,15985.553334445687,159638
189,car_diesel,2013,8,15299.99333630621,15273.10528678669,15326.88138582573,149126
190,car_diesel,2013,9,14686.115953471617,14632.850553080967,14739.381353862267,136003
191,car_diesel,2013,10,14143.630660112358,14107.524209933143,14179.737110291573,109648
192,car_diesel,2013,11,13538.42182060293,13510.418913388903,13566.424727816959,136301
193,car_diesel,2013,12,12944.70186385881,12902.049552904971,12987.35417481265,90318
194,car_diesel,2013,13,12486.359362371739,12423.823688903041,12548.895035840436,53699
195,car_diesel,2013,14,11767.053834033326,11693.20876770349,11840.898900363161,36429
196,car_diesel,2013,15,10966.708865172403,10912.803983763872,11020.613746580933,26189
197,car_diesel,2013,16,10212.52608337198,10152.426465484788,10272.625701259172,19407
198,car_diesel,2013,17,9537.644383777588,9474.269864623475,9601.0189029317,13956
199,car_diesel,2013,18,9309.410784182306,9236.021701447971,9382.79986691664,10444
200,car_diesel,2013,19,9223.99822459893,9047.63742178904,9400.35902740882,7480
201,car_diesel,2014,3,20701.13374488427,20673.500975705705,20728.766514062838,203539
202,car_diesel,2014,4,18327.888805901865,18296.654197812626,18359.123413991103,185772
203,car_diesel,2014,5,17297.671737811634,17268.578565801065,17326.764909822203,176049
204,car_diesel,2014,6,16898.63363073358,16870.06498431032,16927.20227715684,170029
205,car_diesel,2014,7,16255.766126929115,16228.149002020908,16283.383251837322,165037
206,car_diesel,2014,8,15425.892483127778,15381.006660223005,15470.778306032551,155433
207,car_diesel,2014,9,14836.934356959591,14805.386330853124,14868.482383066059,143428
208,car_diesel,2014,10,14144.63853724437,14116.006875136209,14173.27019935253,128798
209,car_diesel,2014,11,13646.231008996228,13615.709233081056,13676.752784911401,101487
210,car_diesel,2014,12,13190.844245440287,13158.703091544558,13222.985399336016,121773
211,car_diesel,2014,13,12601.571935751726,12554.754733697613,12648.38913780584,77076
212,car_diesel,2014,14,11995.988103170957,11937.578284896761,12054.397921445154,43520
213,car_diesel,2014,15,11482.088836624012,11391.318191690456,11572.859481557569,28211
214,car_diesel,2014,16,10661.380696055685,10545.170317834858,10777.591074276512,19826
215,car_diesel,2014,17,9842.476622758622,9768.287331915264,9916.66591360198,14500
216,car_diesel,2014,18,9142.85276818269,9067.49053383289,9218.215002532492,10422
217,car_diesel,2014,19,8924.029561597503,8835.785604749739,9012.273518445267,7687
218,car_diesel,2014,20,8728.315769712142,8624.693738076681,8831.937801347603,5593
219,car_diesel,2015,3,20013.761020411115,19987.766353541123,20039.755687281107,207632
220,car_diesel,2015,4,18378.445002051914,18349.40083763262,18407.48916647121,190066
221,car_diesel,2015,5,17246.515275537375,17219.387002703817,17273.643548370932,182135
222,car_diesel,2015,6,16470.116035719664,16442.910913654126,16497.3211577852,172566
223,car_diesel,2015,7,16047.988067656384,16019.111148463448,16076.864986849321,166311
224,car_diesel,2015,8,15467.54839129409,15441.065538296134,15494.031244292048,161086
225,car_diesel,2015,9,14790.28605906266,14759.445298866887,14821.126819258434,149807
226,car_diesel,2015,10,14188.717420615145,14158.30840123271,14219.126439997579,136424
227,car_diesel,2015,11,13660.49620829909,13628.637971206357,13692.354445391822,119242
228,car_diesel,2015,12,13208.901506588469,13168.856119677228,13248.94689349971,91903
229,car_diesel,2015,13,12733.110124084167,12696.12971825286,12770.090529915475,106460
230,car_diesel,2015,14,12130.32392123395,12074.875892878494,12185.771949589407,63860
231,car_diesel,2015,15,11471.500110713976,11387.01592545142,11555.984295976532,34413
232,car_diesel,2015,16,10931.201453632932,10823.530154875985,11038.872752389878,21718
233,car_diesel,2015,17,9995.053075,9905.319089530789,10084.78706046921,15200
234,car_diesel,2015,18,9211.886682882056,9136.84037206298,9286.932993701132,10895
235,car_diesel,2015,19,8996.93545442941,8807.647550268506,9186.223358590312,7834
236,car_diesel,2015,20,8863.735382635552,8741.286077622888,8986.184687648216,5828
237,car_diesel,2015,21,8880.535081967215,8501.83036238043,9259.239801554,4209
238,car_diesel,2016,3,19381.401633266396,19356.45048874789,19406.3527777849,210627
239,car_diesel,2016,4,17995.59664596433,17968.539511878233,18022.65378005043,194825
240,car_diesel,2016,5,17205.873981275752,17179.484421285488,17232.263541266017,185428
241,car_diesel,2016,6,16425.563465348743,16398.537996791292,16452.588933906194,179171
242,car_diesel,2016,7,15692.533569226925,15665.531051703338,15719.536086750513,168056
