,fuel,reg_year,test_year,y_mean,y_lower,y_upper,n
37,car_hev,2013,2023,152798.1078525641,152124.6665668436,153471.5491382846,20592
38,car_hev,2014,2017,54335.581114743836,54110.01035719565,54561.15187229202,28751
39,car_hev,2014,2018,70364.45497944955,70074.44565440423,70654.46430449488,27250
40,car_hev,2014,2019,86172.01110726644,85819.25363772559,86524.7685768073,26588
41,car_hev,2014,2020,99472.6750425532,99059.60739545373,99885.74268965266,25380
42,car_hev,2014,2021,111457.74647316118,110996.22734077073,111919.26560555164,26063
43,car_hev,2014,2022,125814.50700296965,125289.95818513574,126339.05582080357,25929
44,car_hev,2014,2023,139778.85478983546,139171.01485787402,140386.6947217969,24005
45,car_hev,2015,2018,54001.15417078719,53804.5338222473,54197.774519327075,40448
46,car_hev,2015,2019,70205.3088753847,69950.72860642838,70459.88914434101,38342
47,car_hev,2015,2020,83772.7961776831,83465.58420368693,84080.00815167929,36143
48,car_hev,2015,2021,95964.57446052633,95616.9349341613,96312.21398689137,37240
49,car_hev,2015,2022,111079.32185491921,110673.28539535023,111485.35831448818,37069
50,car_hev,2015,2023,125859.12663992819,125381.78808375652,126336.46519609986,34532
51,car_hev,2016,2019,51284.82390708003,51110.59247861713,51459.05533554292,48192
52,car_hev,2016,2020,64473.720504154626,64255.21443613637,64692.22657217288,44649
53,car_hev,2016,2021,76415.71096273567,76159.44642831697,76671.97549715437,45298
54,car_hev,2016,2022,91558.21119243294,91250.51591539243,91865.90646947344,45143
55,car_hev,2016,2023,106252.23725284383,105882.27536897702,106622.19913671064,42109
56,car_hev,2017,2020,48978.68944516632,48827.12308449664,49130.255805835994,53872
57,car_hev,2017,2021,59966.16428149702,59778.91781855789,60153.41074443614,51489
58,car_hev,2017,2022,74245.37087749613,74015.54173250958,74475.20002248268,50929
59,car_hev,2017,2023,88342.09178552302,88055.05662180642,88629.12694923962,46681
60,car_hev,2018,2021,44204.177934875755,44091.607394220395,44316.748475531116,80523
61,car_hev,2018,2022,58576.6504000102,58429.371977952185,58723.928822068214,78448
62,car_hev,2018,2023,72576.85468872526,72391.39174652564,72762.31763092488,73199
63,car_hev,2019,2022,44969.12181947386,44864.219296933596,45074.02434201413,104838
64,car_hev,2019,2023,60004.23148113199,59866.24916447024,60142.21379779374,97493
65,car_hev,2020,2023,42863.51884358035,42794.06954140358,42932.96814575712,171123
66,car_bev,2012,2015,26446.399139784953,25890.341239357123,27002.457040212783,651
67,car_bev,2012,2016,36267.24320205479,35489.66021453741,37044.82618957217,584
68,car_bev,2012,2017,45832.911052631585,44888.45633912021,46777.36576614296,532
69,car_bev,2012,2018,54352.698964912284,53297.75160048088,55407.64632934369,570
70,car_bev,2012,2019,63299.981688311695,62058.866403074295,64541.096973549094,539
71,car_bev,2012,2020,70016.76197183099,68617.27140372008,71416.2525399419,497
72,car_bev,2012,2021,75943.33535508637,74472.44336706732,77414.22734310542,521
73,car_bev,2012,2022,81637.30145956608,80087.66355742728,83186.93936170488,507
74,car_bev,2012,2023,85542.135,83826.38885431523,87257.88114568476,414
75,car_bev,2013,2016,36825.949948567235,36253.24621667284,37398.65368046163,1361
76,car_bev,2013,2017,47994.78890891841,47197.29583425941,48792.28198357741,1054
77,car_bev,2013,2018,59365.47101582015,58522.22589297652,60208.716138663774,1201
78,car_bev,2013,2019,70173.59748932536,69223.81761789578,71123.37736075494,1171
79,car_bev,2013,2020,79750.51441149211,78670.45811801615,80830.57070496808,1079
80,car_bev,2013,2021,87046.2543259912,85941.18790889064,88151.32074309177,1135
81,car_bev,2013,2022,95858.27072438163,94678.78033340661,97037.76111535664,1132
82,car_bev,2013,2023,103209.19128571429,101883.97736966127,104534.40520176731,980
83,car_bev,2014,2017,36602.87662664784,36268.45067351055,36937.30257978513,4248
84,car_bev,2014,2018,48974.10472782258,48534.74583716629,49413.463618478876,3968
85,car_bev,2014,2019,61268.22496067122,60723.85034161729,61812.59957972515,3814
86,car_bev,2014,2020,71289.23177201215,70652.85042926809,71925.61311475621,3623
87,car_bev,2014,2021,79427.77277028814,78747.089258954,80108.45628162228,3783
88,car_bev,2014,2022,89668.00982564378,88900.93973847106,90435.0799128165,3728
89,car_bev,2014,2023,97784.33103703705,96906.08923874811,98662.57283532598,3105
90,car_bev,2015,2018,36965.56766361525,36693.18227785196,37237.953049378535,7319
91,car_bev,2015,2019,49580.055821596245,49229.7550662341,49930.35657695839,6816
92,car_bev,2015,2020,59860.06896233787,59443.58974163778,60276.548183037965,6399
93,car_bev,2015,2021,68437.68944737238,67975.26000276582,68900.11889197894,6641
94,car_bev,2015,2022,78912.85402703934,78387.15977859667,79438.54827548201,6583
95,car_bev,2015,2023,87030.1494789827,86401.05230414231,87659.24665382308,5662
96,car_bev,2016,2019,43464.76161474889,43155.982209973256,43773.54101952452,7865
97,car_bev,2016,2020,55491.92123144978,55101.26436844907,55882.57809445049,7008
98,car_bev,2016,2021,65487.51406779662,65047.0939526064,65927.93418298684,7316
99,car_bev,2016,2022,77821.68702561995,77303.72038001154,78339.65367122836,7299
100,car_bev,2016,2023,88920.119300828,88297.74121787206,89542.49738378394,6522
101,car_bev,2017,2020,43846.84314155477,43545.03516767893,44148.651115430606,8117
102,car_bev,2017,2021,54104.59895887559,53744.61442908316,54464.583488668024,7684
103,car_bev,2017,2022,67194.27623241271,66766.6478143412,67621.90465048423,7676
104,car_bev,2017,2023,79250.67455036497,78724.45698612381,79776.89211460613,6850
105,car_bev,2018,2021,38757.64268372347,38536.89049271636,38978.39487473058,12859
106,car_bev,2018,2022,51976.84224140713,51692.92146988086,52260.76301293341,12394
107,car_bev,2018,2023,64636.44435606061,64283.10567317925,64989.78303894197,11352
