,fuel,test_year,age,y_mean,y_lower,y_upper,n
61,car_hev,2020,9,166012.27562499998,164940.2250501022,167084.32619989777,8464
62,car_hev,2020,10,188478.99687082105,187223.74048477566,189734.25325686645,7478
63,car_hev,2020,11,190562.82680905054,189100.92143363945,192024.73218446164,4729
64,car_hev,2020,12,188526.7061497713,187161.04266619252,189892.36963335006,4153
65,car_hev,2020,13,192275.75092837593,191017.6634772922,193533.83837945966,4384
66,car_hev,2021,3,44280.57909843263,44169.97801213224,44391.18018473302,83133
67,car_hev,2021,4,61403.81273831688,61212.423314134205,61595.20216249956,53175
68,car_hev,2021,5,78869.66470515289,78607.20578893987,79132.1236213659,46770
69,car_hev,2021,6,98645.23850356542,98294.48921571956,98995.98779141127,38565
70,car_hev,2021,7,114721.01525159976,114260.90335042769,115181.12715277183,27504
71,car_hev,2021,8,129737.59560126172,129203.05549469248,130272.13570783097,23143
72,car_hev,2021,9,153071.80433231115,152286.9348612286,153856.6738033937,14348
73,car_hev,2021,10,182854.94935335405,181683.41999053827,184026.47871616983,8691
74,car_hev,2021,11,195028.36909813216,193721.5737015581,196335.1644947062,7174
75,car_hev,2021,12,200920.17642233113,199386.51822400905,202453.83462065322,4693
76,car_hev,2021,13,197342.97386250886,195960.87822279436,198725.06950222337,4233
77,car_hev,2021,14,200622.4039756825,199336.03438754383,201908.7735638212,4359
78,car_hev,2022,3,45257.717664883814,45155.0073453173,45360.427984450325,107879
79,car_hev,2022,4,59054.13524942245,58908.315132829906,59199.95536601499,81809
80,car_hev,2022,5,76256.80689801108,76021.04217824209,76492.57161778008,52692
81,car_hev,2022,6,94750.66675984101,94436.34775152401,95064.98576815802,46794
82,car_hev,2022,7,115104.44971889953,114691.36449902676,115517.5349387723,38456
83,car_hev,2022,8,130270.81059674371,129745.24883608322,130796.37235740421,27516
84,car_hev,2022,9,145039.2595044072,144433.51295646233,145645.00605235208,23144
85,car_hev,2022,10,168813.64016691214,167930.08243111614,169697.19790270814,14259
86,car_hev,2022,11,185399.99825800024,184181.94483260583,186618.05168339465,8031
87,car_hev,2022,12,208013.1739251941,206649.0002130778,209377.34763731042,7085
88,car_hev,2022,13,213782.49404545454,212168.05449208306,215396.93359882603,4620
89,car_hev,2022,14,208295.87954036676,206890.59864298458,209701.16043774894,4199
90,car_hev,2022,15,211097.94971887552,209761.90799535962,212433.99144239142,4233
91,car_hev,2023,3,43942.843519616035,43871.20278899101,44014.48425024106,178349
92,car_hev,2023,4,61512.089614136894,61375.91026785039,61648.2689604234,105115
93,car_hev,2023,5,74404.23407021073,74221.65353142905,74586.81460899241,80529
94,car_hev,2023,6,92107.22725743732,91822.29552491553,92392.1589899591,52203
95,car_hev,2023,7,111088.94325925928,110718.65926332033,111459.22725519823,46575
96,car_hev,2023,8,131187.94766986475,130713.3852479778,131662.5100917517,38148
97,car_hev,2023,9,145396.27048683248,144803.39217087938,145989.14880278558,27340
98,car_hev,2023,10,159813.38801404214,159135.47522781222,160491.30080027206,22931
99,car_hev,2023,11,172776.2469488429,171851.71896424776,173700.77493343802,13136
100,car_hev,2023,12,198680.81861052106,197405.7151159595,199955.92210508263,8003
101,car_hev,2023,13,220698.38492730676,219274.81452502572,222121.9553295878,6947
102,car_hev,2023,14,225864.54131832096,224177.57744457,227551.50519207193,4574
103,car_hev,2023,15,219599.4927911548,218125.21752935206,221073.76805295754,4070
104,car_hev,2023,16,221693.84839355468,220301.41893875023,223086.27784835914,4096
105,car_hev,2024,3,45364.287218423124,45308.2753909039,45420.299045942345,268923
106,car_hev,2024,4,58878.32535468569,58778.86192505653,58977.78878431484,148399
107,car_hev,2024,5,77209.06227306192,77028.82317060743,77389.30137551641,91005
108,car_hev,2024,6,89357.36331801741,89123.77595943444,89590.95067660038,71603
