,fuel,mileage,percentage,mileage_stderr
0,car_hev,88114.05943937419,0.922774581841821,1394.707932564106
1,car_hev,101313.12892885692,0.909693111925261,1857.6480463882106
2,car_hev,130265.45190431521,0.8884871507182385,2567.8085262121
3,car_hev,141622.5180613497,0.872618683260145,3027.668987195449
4,car_hev,169286.81797794122,0.8544980791102469,3380.559091645057
5,car_hev,203982.9317785235,0.8716576738609113,4816.81524122799
6,car_hev,233467.1179093199,0.8665506043459649,6585.846345488464
7,car_hev,277301.7506733167,0.8076823458195256,6894.477724794634
8,car_hev,269148.19261029415,0.7919133208739975,8041.2844632768465
9,car_hev,254840.9645422535,0.7521481144543828,6900.155979526558
10,car_hev,251763.04444117652,0.7290498045215026,5952.338745976861
11,car_bev,78853.63369680852,0.8569257936019056,2424.3061486116762
12,car_bev,87497.41021148037,0.8444252505282384,2760.4070154697893
13,car_bev,85499.31677325582,0.7376195910720545,2570.878924152663
14,car_bev,95035.75213592233,0.7269780520190581,3761.896163519448
15,car_bev,94018.29972972974,0.6886650087605267,4957.5934578126735
16,car_bev,96868.47644444446,0.6193548387096773,6688.610919508103
17,car_diesel,99546.26896825396,0.917977861630081,751.5306561903644
18,car_diesel,118946.89908044344,0.9039427794395276,731.9294773487495
19,car_diesel,139149.32542682928,0.8871908269437115,804.2595620298778
20,car_diesel,155053.8943461172,0.8607565784937323,792.7915851442663
21,car_diesel,172481.50742031133,0.8365827531066823,782.1194859037805
22,car_diesel,188734.2363186916,0.805127827186811,749.2735248468241
23,car_diesel,201449.8304356121,0.7750006389001598,671.2700125352171
24,car_diesel,208815.59229596856,0.7291520605733951,598.5582678152107
25,car_diesel,215468.52810481985,0.660007252661624,565.1556999307696
26,car_diesel,224333.15924810618,0.5428765571092943,549.6056546016422
27,car_diesel,231302.70517252732,0.4621794638193457,546.675948488642
28,car_diesel,235124.52179698326,0.3603984038709272,607.5663849035417
29,car_diesel,239936.0605849397,0.2672240179518907,673.7471245167766
30,car_diesel,237947.093994614,0.1898643846379168,811.1461857757437
31,car_diesel,245228.84530670472,0.1425415665302996,1063.251848895522
32,car_diesel,246355.88832472326,0.1048670214424041,1089.2052508525214
33,car_diesel,247176.00070725486,0.0657515552045664,1648.298068817969
34,car_diesel,253628.77375000002,0.0458063783279274,2414.028273222092
35,car_diesel,253089.5139977091,0.0355386979877456,2850.747520150931
36,car_diesel,261389.1502773723,0.0271927138717911,3635.7546830254373
37,car_diesel,257875.46349576273,0.0201987245204084,4120.67244423092
38,car_diesel,258489.0242151163,0.0155167934901188,4552.028202437437
39,car_diesel,251048.6570881226,0.0117901995268999,5457.48537863769
40,car_diesel,254846.81485576928,0.0093303614793395,6987.351679838865
41,car_petrol,60811.75898836895,0.9609114322998852,521.8641034172197
42,car_petrol,72189.90473934589,0.9473714793487028,494.17925601267166
43,car_petrol,83439.06189959768,0.9422167669472248,506.20488763298056
44,car_petrol,97153.505526398,0.9262105406060268,548.601093465515
45,car_petrol,109318.22269725025,0.9081715639307996,544.9092725061136
46,car_petrol,122713.06610815602,0.8949188471671345,566.081402032052
47,car_petrol,135766.03538140253,0.8771709645104285,555.3034886523794
48,car_petrol,145846.72986461426,0.836274093377263,512.0467720262669
49,car_petrol,151721.24102167186,0.7827654754750127,486.101236294163
50,car_petrol,161159.26603645645,0.6669486587775301,459.45667289652687
51,car_petrol,166142.94860805597,0.5608504840790441,450.9406148537548
52,car_petrol,169209.93404468056,0.4561692432469245,480.7574829956566
53,car_petrol,170158.02131496675,0.3416396568160152,549.3217239552023
54,car_petrol,169644.81749497238,0.2430138220790758,641.3320982926492
55,car_petrol,172356.08226205193,0.1689445234708392,1031.9375130275432
56,car_petrol,172483.15425369685,0.1182666572981673,923.9749229076987
57,car_petrol,173671.10305747922,0.0714506661641775,1285.8659385789315
58,car_petrol,171731.80124593718,0.0451864908916885,1613.967595157163
59,car_petrol,174405.88415094343,0.0301847130377981,2043.0856358635008
60,car_petrol,171491.24781795513,0.0215023819964925,2406.78282225847
61,car_petrol,175773.690998004,0.0155781989041485,3094.823070503082
62,car_petrol,171361.75721374046,0.0094914747760451,4234.428012007321
63,car_petrol,181025.01900000003,0.0080910942112224,6505.934198917839
64,car_petrol,176738.13099236644,0.0058695067692398,6409.8308846133605
