,fuel,age,y_mean,y_lower,y_upper,n
30,car_diesel,8,125093.50866081254,124965.769577709,125221.24774391609,186307
31,car_diesel,9,138526.21741984872,138390.4111805477,138662.02365914974,179629
32,car_diesel,10,151552.39966960403,151408.58176526695,151696.2175739411,171128
33,car_diesel,11,165255.09128769825,165100.17854791746,165410.00402747904,159059
34,car_diesel,12,178050.25431248365,177882.62865364045,178217.87997132685,145422
35,car_diesel,13,186408.45179458676,186232.90222762147,186584.00136155204,133117
36,car_diesel,14,193987.1286129252,193790.0811197178,194184.17610613263,111472
37,car_diesel,15,205212.6283842009,204986.87984758805,205438.37692081378,88334
38,car_diesel,16,212867.6867352081,212609.07674414615,213126.29672627003,71441
39,car_diesel,17,217803.64417393148,217490.347508955,218116.94083890796,51848
40,car_diesel,18,222167.88919737452,221784.31891393985,222551.4594808092,36717
41,car_diesel,19,222705.6202650141,222227.6203953005,223183.62013472768,24527
42,car_diesel,20,227783.9938122228,227157.43856064684,228410.54906379874,16232
43,car_diesel,21,233888.63047491465,233199.44007181833,234577.82087801097,14929
44,car_diesel,22,233831.2587960376,232861.55215449244,234800.96543758278,7874
45,car_diesel,23,236734.64082996437,235351.28887114397,238117.99278878476,4205
46,car_diesel,24,240830.02707794606,239100.7280750967,242559.3260807954,2707
47,car_diesel,25,243825.3208594492,241835.35077271218,245815.2909461862,2106
48,car_diesel,26,247943.9811267606,245665.09203308073,250222.87022044047,1633
49,car_diesel,27,250037.2723192771,247589.8956252298,252484.6490133244,1328
50,car_diesel,28,251447.79376947042,248332.92670108264,254562.6608378582,963
51,car_diesel,29,250338.24118159208,247028.3719989171,253648.11036426705,804
52,car_diesel,30,230741.35298174445,226590.9038225644,234891.8021409245,493
53,car_petrol,3,33738.31684135282,33698.74036997122,33777.89331273441,223830
54,car_petrol,4,42724.530625082356,42676.545900149875,42772.51535001484,212500
55,car_petrol,5,53312.38108901674,53256.63948368923,53368.122694344245,209455
56,car_petrol,6,62410.837211395614,62338.943110760454,62482.73131203077,160202
57,car_petrol,7,71742.91407578738,71670.57296477219,71815.25518680258,197368
58,car_petrol,8,81689.77350542223,81609.85507745955,81769.69193338491,196875
59,car_petrol,9,91470.81249935096,91381.45906828053,91560.16593042138,192586
60,car_petrol,10,101065.84708625305,100969.82393077404,101161.87024173206,188376
61,car_petrol,11,109908.45088766876,109803.97932054746,110012.92245479007,177938
62,car_petrol,12,119892.02762299101,119776.36967311487,120007.68557286715,165195
63,car_petrol,13,127633.12582685336,127507.05665151904,127759.19500218767,156122
64,car_petrol,14,132663.28571557245,132524.63150185015,132801.93992929475,139888
65,car_petrol,15,142275.00467806213,142117.1713987703,142432.83795735397,110161
66,car_petrol,16,147616.2471647289,147436.59811795058,147795.89621150724,92030
67,car_petrol,17,150737.50469550485,150526.0539456079,150948.95544540178,70231
68,car_petrol,18,152631.77192808522,152378.46229755823,152885.0815586122,50532
69,car_petrol,19,154586.68743672574,154262.71701998368,154910.6578534678,33742
70,car_petrol,20,157516.52130377755,157028.81997241065,158004.22263514446,15248
71,car_petrol,21,157180.5084477445,156646.38270131787,157714.63419417114,14276
72,car_petrol,22,157064.2286240331,156372.8464563552,157755.610791711,9179
73,car_petrol,23,156846.63492054795,155956.50709037855,157736.76275071735,5475
74,car_petrol,24,160033.01379886505,158821.18582116577,161244.84177656434,3172
75,car_petrol,25,160880.37610803323,159339.5982987331,162421.15391733337,2166
76,car_petrol,26,165821.66620713306,163919.08572794287,167724.24668632325,1458
77,car_petrol,27,168681.7827316486,166073.94218452077,171289.62327877642,831
78,car_petrol,28,180586.6761220826,177006.46677239554,184166.88547176967,557
79,car_petrol,29,168387.71173126617,164635.8720879354,172139.55137459695,387
80,car_petrol,30,167585.7950902527,163067.50668828204,172104.08349222338,277
