fuel,reg_year,age,emissions,std_error,n
car_hev,2007,0,7.764376559387163,0.02766996529305208,4197
car_hev,2007,1,11.531216266614388,0.05428973758320498,4197
car_hev,2007,2,15.298055973841615,0.08759681482761178,4197
car_hev,2007,3,19.065629350245057,0.12248659921754852,4197
car_hev,2007,4,22.402897922804183,0.1493065196652808,4096
car_hev,2007,5,25.593484969941937,0.1723129313980289,4111
car_hev,2007,6,28.62623857509314,0.19246350164395215,4095
car_hev,2007,7,31.755499326783752,0.2130820200164578,4090
car_hev,2007,8,34.751800624254145,0.232140180687938,4080
car_hev,2007,9,37.63650136455573,0.24956076557889864,4048
car_hev,2007,10,40.67111278399598,0.28668927160341195,3594
car_hev,2007,11,43.50678054396676,0.28588274839350614,4015
car_hev,2007,12,46.210059292359844,0.303873551728964,3961
car_hev,2007,13,48.75286350193933,0.32814736329342803,3717
car_hev,2007,14,51.15757219321233,0.3299466107112195,3957
car_hev,2007,15,53.779218461510645,0.3433539056896679,4011
car_hev,2007,16,56.36275814962398,0.35587418723555064,3993
car_hev,2007,17,58.54474600507024,0.3978465857242653,3281
car_hev,2008,0,7.754120956731207,0.027392419989800746,4303
car_hev,2008,1,11.658158442052207,0.053302287669923426,4303
car_hev,2008,2,15.562195927373205,0.08646763449718421,4303
car_hev,2008,3,19.497093484056865,0.12245508180907078,4303
car_hev,2008,4,22.91352059193097,0.14709031817526677,4203
car_hev,2008,5,26.2695464137516,0.1691369781536801,4197
car_hev,2008,6,29.620072261524392,0.18994661244874883,4195
car_hev,2008,7,32.94004690019722,0.2122944241440969,4184
car_hev,2008,8,36.10517940656532,0.2336325703909257,4151
car_hev,2008,9,39.71573513355403,0.27387625837588453,3677
car_hev,2008,10,42.65902066764123,0.2763106752511031,4112
car_hev,2008,11,45.6944325492923,0.2956075516690321,4094
car_hev,2008,12,48.24001404707996,0.3227497041231546,3781
car_hev,2008,13,50.77016788983343,0.32331233635560575,4091
car_hev,2008,14,53.67135331263663,0.33523318785275114,4155
car_hev,2008,15,56.24219946498254,0.3515064242287196,4086
car_hev,2008,16,58.27926289037638,0.38746489967411407,3422
car_hev,2009,0,8.120186146424697,0.01954930005451689,4388
car_hev,2009,1,12.151019197832062,0.0473600253213168,4388
car_hev,2009,2,16.18185224923943,0.08293260631156463,4388
