,fuel,age,percentage
0,car_hev,0,1.0
1,car_hev,1,1.0
2,car_hev,2,0.995864872441828
3,car_hev,3,0.9973171701112878
4,car_hev,4,0.9345223344235888
5,car_hev,5,0.8984972982417523
6,car_hev,6,0.9183258170258987
7,car_hev,7,0.9010047829269425
8,car_hev,8,0.8899259131261206
9,car_hev,9,0.8749185156671363
10,car_hev,10,0.8759026365726178
11,car_hev,11,0.8548913995860585
12,car_hev,12,0.8230848878286064
13,car_hev,13,0.7996709638833809
14,car_hev,14,0.7454945885939573
15,car_hev,15,0.7327048139551674
16,car_bev,0,1.0
17,car_bev,1,0.9689286870212536
18,car_bev,2,0.9351763584366062
19,car_bev,3,0.9040087264794108
20,car_bev,4,0.894078856554857
21,car_bev,5,0.8411968866514321
22,car_bev,6,0.8426963033007641
23,car_bev,7,0.8064472974218507
24,car_bev,8,0.784247735162137
25,car_bev,9,0.6841155674753139
26,car_bev,10,0.6013569078947367
27,car_diesel,0,1.0
28,car_diesel,1,0.975177891775608
29,car_diesel,2,0.98963880737601
30,car_diesel,3,0.968900420506397
31,car_diesel,4,0.9187376739810998
32,car_diesel,5,0.8980557682924435
33,car_diesel,6,0.9019559680942567
34,car_diesel,7,0.8829720239291601
35,car_diesel,8,0.853498839582182
36,car_diesel,9,0.8265910022668954
37,car_diesel,10,0.7875442611948258
38,car_diesel,11,0.7400379877484148
39,car_diesel,12,0.7003419187412048
40,car_diesel,13,0.6197317466489056
41,car_diesel,14,0.49129909187750115
42,car_diesel,15,0.4044908004460701
43,car_diesel,16,0.30746448707863483
44,car_diesel,17,0.22268268107605715
45,car_diesel,18,0.15358800564842937
46,car_diesel,19,0.1156740003431654
47,car_diesel,20,0.07919487304307803
48,car_diesel,21,0.05187000356816721
49,car_diesel,22,0.03879997809658374
50,car_diesel,23,0.027081823809732394
51,car_diesel,24,0.02062626174485134
52,car_diesel,25,0.015687221177657175
53,car_diesel,26,0.012555397584291491
54,car_diesel,27,0.009510780576218536
55,car_diesel,28,0.007361438566710078
56,car_petrol,0,1.0
57,car_petrol,1,0.9657337385445378
58,car_petrol,2,0.9806797891563044
59,car_petrol,3,0.972514209529156
60,car_petrol,4,0.9562580175997846
61,car_petrol,5,0.9437667385016519
62,car_petrol,6,0.9567514624135328
63,car_petrol,7,0.9405415885422316
64,car_petrol,8,0.9291501305108475
65,car_petrol,9,0.910929574371373
66,car_petrol,10,0.8874599002823211
67,car_petrol,11,0.8619012178495707
68,car_petrol,12,0.8238669087571876
69,car_petrol,13,0.7616278919949832
70,car_petrol,14,0.6260272243638225
71,car_petrol,15,0.5124034219961252
72,car_petrol,16,0.41116292516384345
73,car_petrol,17,0.2988657070892138
74,car_petrol,18,0.2107047287878581
75,car_petrol,19,0.1444808229929125
76,car_petrol,20,0.09502919805343804
77,car_petrol,21,0.057966768614594155
78,car_petrol,22,0.03680754302102912
79,car_petrol,23,0.02207410247418997
80,car_petrol,24,0.015641495405607535
81,car_petrol,25,0.011661667868967426
82,car_petrol,26,0.007106384808905133
83,car_petrol,27,0.006290298022360941
84,car_petrol,28,0.0046346060630600835
