,fuel,reg_year,test_year,y_mean,y_lower,y_upper,n
88,car_bev,2013,2016,12048.372708333334,11853.047350127235,12243.698066539433,1344
89,car_bev,2013,2017,11729.192784200386,11497.200412116299,11961.185156284473,1038
90,car_bev,2013,2018,11544.448616033756,11343.19743123589,11745.699800831622,1185
91,car_bev,2013,2019,11499.552545454546,11296.717965793909,11702.387125115183,1155
92,car_bev,2013,2020,9064.737714016932,8889.87330730718,9239.602120726684,1063
93,car_bev,2013,2021,7819.3700178731015,7655.26625884496,7983.473776901243,1119
94,car_bev,2013,2022,8620.45600716204,8449.781562466269,8791.13045185781,1117
95,car_bev,2013,2023,8149.557386468954,7976.214525971479,8322.90024696643,1079
96,car_bev,2013,2024,7318.536481069042,7149.171011379112,7487.901950758971,898
97,car_bev,2014,2017,12155.685621724633,12041.270563029397,12270.10068041987,4198
98,car_bev,2014,2018,12329.21694642857,12187.77715816793,12470.656734689212,3920
99,car_bev,2014,2019,12526.86150557621,12373.374330560722,12680.348680591696,3766
100,car_bev,2014,2020,9781.152387475538,9663.421504090236,9898.88327086084,3577
101,car_bev,2014,2021,8631.897909090909,8518.14855220512,8745.647265976697,3740
102,car_bev,2014,2022,10052.679262072708,9925.854805699013,10179.503718446404,3686
103,car_bev,2014,2023,9726.094,9601.804471630518,9850.38352836948,3565
104,car_bev,2014,2024,8896.87646457268,8768.113668387006,9025.639260758355,2738
105,car_bev,2015,2018,12194.363227813104,12103.14710965374,12285.579345972468,7234
106,car_bev,2015,2019,12615.005474387528,12503.687878237517,12726.323070537539,6735
107,car_bev,2015,2020,10040.806993360735,9950.10106653275,10131.51292018872,6326
108,car_bev,2015,2021,8827.759055166109,8739.408962160893,8916.109148171325,6562
109,car_bev,2015,2022,10405.794817832437,10305.101108595652,10506.488527069221,6505
110,car_bev,2015,2023,10054.602232044199,9957.474392044505,10151.730072043893,6335
111,car_bev,2015,2024,9176.700976554537,9069.409790728118,9283.992162380957,4905
112,car_bev,2016,2019,14335.192673865537,14230.559336657023,14439.82601107405,7779
113,car_bev,2016,2020,11690.392246606989,11583.833663253414,11796.950829960564,6926
114,car_bev,2016,2021,10354.356777224986,10251.843838191844,10456.869716258128,7236
115,car_bev,2016,2022,12186.012143549953,12074.104277701395,12297.920009398511,7217
116,car_bev,2016,2023,12094.417339227151,11974.97372488543,12213.860953568872,7013
117,car_bev,2016,2024,10999.34048287972,10876.123704909773,11122.557260849666,5695
118,car_bev,2017,2020,14299.143166148102,14196.71561451558,14401.570717780623,8035
119,car_bev,2017,2021,10347.59853741944,10254.32712529244,10440.86994954644,7603
120,car_bev,2017,2022,13078.163283758886,12971.069805818443,13185.25676169933,7598
121,car_bev,2017,2023,12926.629671114706,12813.750813028711,13039.5085292007,7419
122,car_bev,2017,2024,11949.194709897614,11825.463390470319,12072.92602932491,5860
123,car_bev,2018,2021,12932.360445020015,12854.292889959555,13010.428000080474,12741
124,car_bev,2018,2022,13369.97417602996,13279.65997262751,13460.28837943241,12282
125,car_bev,2018,2023,13167.292616346956,13077.102936929296,13257.482295764617,11990
126,car_bev,2018,2024,12577.32830839096,12477.92719398114,12676.729422800778,9689
127,car_bev,2019,2022,13346.60753210011,13295.895132525284,13397.319931674936,32165
128,car_bev,2019,2023,14261.751093321136,14202.510602485865,14320.991584156407,30604
129,car_bev,2019,2024,13856.2235,13791.161227327788,13921.285772672212,25320
130,car_bev,2020,2023,14077.78581476817,14048.311651836842,14107.2599776995,94487
131,car_bev,2020,2024,14461.279649742206,14421.157971977325,14501.401327507087,75059
132,car_bev,2021,2024,15721.376754839592,15694.724084668565,15748.029425010618,146190
133,car_diesel,2010,2013,20298.261073543297,20270.499739211762,20326.022407874832,191683
134,car_diesel,2010,2014,18246.70662535032,18215.426037043355,18277.98721365729,182333
135,car_diesel,2010,2015,17139.193015180375,17112.075745927086,17166.310284433664,178520
136,car_diesel,2010,2016,16302.203042936935,16275.57548867339,16328.83059720048,173487
137,car_diesel,2010,2017,15616.085359373352,15587.93035674253,15644.240362004173,151792
138,car_diesel,2010,2018,14744.234331006859,14720.490954267703,14767.977707746015,164770
139,car_diesel,2010,2019,14111.107321657599,14087.881977531579,14134.332665783619,158277
140,car_diesel,2010,2020,11741.053203249443,11717.906361150166,11764.20004534872,144394
141,car_diesel,2010,2021,10537.601931132338,10516.129947901574,10559.073914363102,147297
142,car_diesel,2010,2022,11585.447980634168,11560.903117249502,11609.992844018834,140247
143,car_diesel,2010,2023,11495.032610144995,11472.49246736422,11517.572752925771,128694
144,car_diesel,2010,2024,11217.20416669312,11187.992879745205,11246.415453641035,94509
145,car_diesel,2011,2014,20648.915115591994,20620.957767685315,20676.872463498672,195299
146,car_diesel,2011,2015,18233.94271192905,18205.145966045307,18262.73945781279,186159
147,car_diesel,2011,2016,17067.614043517882,17041.547274508088,17093.680812527677,179972
148,car_diesel,2011,2017,16274.88457872682,16247.368172607326,16302.400984846314,157024
149,car_diesel,2011,2018,15364.536472033631,15340.279237855559,15388.793706211703,171742
150,car_diesel,2011,2019,14668.872886172983,14645.283623007357,14692.46214933861,165936
151,car_diesel,2011,2020,12184.51147190132,12163.360535162952,12205.662408639688,152089
152,car_diesel,2011,2021,10871.289682397548,10850.740213670999,10891.839151124097,157461
153,car_diesel,2011,2022,11945.425010697614,11924.478575452802,11966.371445942426,151903
154,car_diesel,2011,2023,11879.537111611859,11854.653352500114,11904.420870723603,142010
155,car_diesel,2011,2024,11574.762423335756,11548.187483894155,11601.337362777358,107286
156,car_diesel,2012,2015,20027.776532598007,20001.248318269216,20054.3047469268,199276
157,car_diesel,2012,2016,17890.396558096036,17863.311504658515,17917.481611533556,189247
158,car_diesel,2012,2017,16847.381320595396,16819.036848529788,16875.725792661004,162245
159,car_diesel,2012,2018,15919.413894603693,15894.657987967257,15944.169801240128,179456
160,car_diesel,2012,2019,15217.945479478793,15193.930922812797,15241.960036144788,174210
161,car_diesel,2012,2020,12568.97909290417,12547.549751626711,12590.408434181629,161306
162,car_diesel,2012,2021,11115.26404767042,11095.495554111625,11135.032541229215,166854
163,car_diesel,2012,2022,12320.565205174333,12299.455150078373,12341.675260270293,163422
164,car_diesel,2012,2023,12225.426770408983,12200.938045486766,12249.9154953312,155385
165,car_diesel,2012,2024,11926.493553464346,11897.872714182893,11955.1143927458,120398
166,car_diesel,2013,2016,19381.288567165062,19356.069972518606,19406.507161811518,203387
167,car_diesel,2013,2017,17383.48292439754,17354.149397298712,17412.81645149637,168103
168,car_diesel,2013,2018,16385.08300301908,16360.078565357859,16410.087440680305,186812
169,car_diesel,2013,2019,15651.890184823893,15627.741287511035,15676.039082136751,181957
170,car_diesel,2013,2020,12911.69872631102,12890.595490942824,12932.801961679217,169963
171,car_diesel,2013,2021,11394.769238245997,11375.056344780218,11414.482131711777,175621
172,car_diesel,2013,2022,12733.226486914504,12712.22550723473,12754.227466594277,173016
173,car_diesel,2013,2023,12689.404854889342,12668.373758971293,12710.435950807392,166597
174,car_diesel,2013,2024,12355.957509995626,12331.316317529263,12380.598702461988,132558
175,car_diesel,2014,2017,19153.017093447135,19128.104593771608,19177.929593122662,205742
176,car_diesel,2014,2018,16967.00822318929,16941.067003696946,16992.94944268163,193943
177,car_diesel,2014,2019,16228.780048210429,16204.574363295587,16252.98573312527,188341
178,car_diesel,2014,2020,13410.241004288397,13388.94283333457,13431.539175242224,176523
179,car_diesel,2014,2021,11799.358921617026,11779.534803747893,11819.183039486159,182310
180,car_diesel,2014,2022,13250.599136729817,13229.565853582037,13271.632419877598,179990
